sku,Name,Brand,Category,Wholesale,Retail,Description,Images,Length,Width,Height
JRM-0931,Etruscan Mirror,John Richard,Decoration > Home Accents > Mirrors,1055,2901,A fine reverse painted border backed in antique mirrored eglomise surrounds a beveled modern mirror. The delicately painted design of urns and foliage has been lightly distressed and antiqued. The frame edge finished in antique silver leaf.,"JRM-0931-1,JRM-0931-10","1.5""D","40""W","57""H"
JRM-0703,Gregory Mirror,John Richard,Decoration > Home Accents > Mirrors,1040,2860,The plain modern center mirror has a tiled eglomise frame which has an etched geometric design with silvered button rosettes.,"JRM-0703-1,JRM-0703-3,JRM-0703-10","1""D","34""W","57""H"
JRM-0687,Pier Mirror,John Richard,Decoration > Home Accents > Mirrors,1565,4304,This pier mirror has an eglomise mirror surrounded by a beaded frame finished in old gold and chanterelle. The head has a central carved motif with acanthus leaves flowing outwards from it.,JRM-0687-1,"3""D","44""W","76""H"
JRM-0880,Mary Hong's Galactic Mirror,John Richard,Decoration > Home Accents > Mirrors,805,2214,Galactic mirror is a unique design where wall art is converted into a mirror. The canvas surrounding the mirror is enhanced with tempered glass fragments and gold leaf then incased in a clear epoxy resin to give the frame a polished finish.,"JRM-0880-1,JRM-0880-10","3""D","35.5""W","46.5""H"
JRM-0904,Dyann Gunter's As The Water Flows Mirror,John Richard,Decoration > Home Accents > Mirrors,805,2214,As The Water Flows by Dyaqnn Gunter is a unique design where wall art is converted into a mirror. The canvas surrounding the mirror is enhanced with a technique called broken epoxy that gives the illusion of water.,"JRM-0904-1,JRM-0904-10,JRM-0904-11","2""D","31.25""W","46.25""H"
JRM-0833,Zeta Mirror In Mayan Bronze,John Richard,Decoration > Home Accents > Mirrors,970,2668,The frame is a series of organic shapes interlocking with each other surrounding the plain modern mirrors. The frames are finished in Mayan bronze.,"JRM-0833-1,JRM-0833-6","2""D","41""W","53""H"
JRM-0874,Zeta Mirror In Pewter,John Richard,Decoration > Home Accents > Mirrors,945,2599,The frame is a series of organic shapes interlocking with each other surrounding the plain modern mirrors. The frames are finished in pewter.,"JRM-0874-1,JRM-0874-3,JRM-0874-10","2""D","41""W","53""H"
JRM-0671,Janeiro Mirror,John Richard,Decoration > Home Accents > Mirrors,1310,3603,"The simple gilt frame encloses foxed mirror strips around a large beveled foxed mirror, above which a gilt cross separates four foxed mirror panels with carved spiral arms radiating from a central button.",JRM-0671-1,"1""D","38""W","68""H"
JRM-0929S3,Pesaro Mirror Panels (Set Of Three),John Richard,Decoration > Home Accents > Mirrors,1645,4524,"A set of three reverse painted, distressed silver, eglomise mirrored panels with continuous delicately hand-painted scene of birds and butterflies with branches and leaves. A hand carved frame surrounds each panel and finished in silver leaf.","JRM-0929S3-1,JRM-0929S3-10","1.5""D","12""W","46""H"
JRM-0702,Isabella Mirror,John Richard,Decoration > Home Accents > Mirrors,1320,3630,"Inspired by a leading window, the antique gilt mouldings encase eglomise mirrors which in turn frame the modern bevelled edge mirror.","JRM-0702-1,JRM-0702-10,JRM-0702-11","2""D","35""W","70""H"
GBG-1456A,Emily Ryan Smith's Blue Twins I,John Richard,Decoration > Artistic Ornaments > Wall Art,850,2338,Soothing blue hues and vibrant movement are displayed in this beautiful piece by Emily Ryan Smith of Alabama. The piece is highlighted by a hand-applied gel finish and surrounded by an acrylic frame.,GBG-1456A-1,"2""D","38""W","48""H"
GBG-1456B,Emily Ryan Smith's Blue Twins II,John Richard,Decoration > Artistic Ornaments > Wall Art,850,2338,Soothing blue hues and vibrant movement are displayed in this beautiful piece by Emily Ryan Smith of Alabama. The piece is highlighted by a hand-applied gel finish and surrounded by an acrylic frame.,GBG-1456B-1,"2""D","38""W","48""H"
GBG-1479,Kent Walsh's Golden Glow Triptych,John Richard,Decoration > Artistic Ornaments > Wall Art,945,2599,"This tonal triptych by Kent Walsh is a force for any space. The ominous clouds portrayed in the images come to life at the artist’s hand. Each piece is surrounded by an ebony wood molding. Two Side Pieces: 21.5""W X 39.5""H X 2""D (each), Middle Piece: 31.5""W X 39.5""H X 2""D",GBG-1479-1,"2""D","74.5""W","39.5""H"
GBG-1558,Robert Williams' Aqua Globe,John Richard,Decoration > Artistic Ornaments > Wall Art,560,1540,"A soft and airy watercolor by artist Robert Williams is a beauty to behold. Mounted on top of a textural cotton background, the piece is surrounded by an aged silver molding.","GBG-1558-1,GBG-1558-6","2""D","43.25""W","52.25""H"
GBG-1940,Kent Walsh's Verdant,John Richard,Decoration > Artistic Ornaments > Wall Art,695,1911,"Graphic movement dances across this canvas, with pops of bright chartreuse to liven up the piece. This image by Kent Walsh is brushed with a textured matte gel finish and is framed in a silver-edged molding.",GBG-1940-1,"2""D","57""W","57""H"
GBG-1678,Kent Walsh's Archipeligo,John Richard,Decoration > Artistic Ornaments > Wall Art,505,1389,A brilliantly colored abstract work by artist Kent Walsh is produced on an acrylic sheet and surrounded by an aged silver molding.,GBG-1678-1,"2""D","41""W","61""H"
GBG-1146,Kent Walsh's The Dance,John Richard,Decoration > Artistic Ornaments > Wall Art,855,2351,"This abstract by Kent Walsh creates an energetic feel showing a figure posed in dance. A high-gloss vitreous finish has been hand-applied, and the piece is complete with a silver-edged wood gallery molding.",GBG-1146-1,"2""D","57""W","56""H"
GBG-0567,Kent Walsh's Nude at Sunrise,John Richard,Decoration > Artistic Ornaments > Wall Art,475,1306,Kent Walsh's original painting is reproduced here as a giclée on canvas. The textures of the original have been painstakingly rebuilt by hand. The stretched canvas sits in a gallery frame of smooth silver metal leaf with a matte black rabbet and exterior.,GBG-0567-1,"2""D","22""W","44""H"
AJC-9248,Luna: Crystal Wand Branched Single-Light Wall Sconce,John Richard,Lighting > Wall Sconces,160,440,This crystal wand branched wall sconce with one light is ablaze in an antique silver-leaf finish.,AJC-9248-1,,,
AJC-9244,Luna: Crystal Wand Branched Nine-Light Chandelier,John Richard,Lighting > Chandeliers,1220,3355,This crystal wand branched chandelier with nine lights is ablaze in an antique silver-leaf finish.,AJC-9244-1,,,
AJC-9243,Reveille: Crystal Constellation Seven-Light Pendant Chandelier,John Richard,Lighting > Chandeliers,2015,5541,This brilliant crystal constellation pendant chandelier with seven lights is in an antique silver-leaf finish.,AJC-9243-1,,,
AJC-9240,Reveille: Crystal Constellation Four-Light Semi-Flush,John Richard,Lighting > Semi-Flush,735,2021,This brilliant crystal constellation semi-flush with four lights is in an antique silver-leaf finish.,AJC-9240-1,,,
AJC-9239,Reveille: Crystal Constellation Ten-Light Pendant,John Richard,Lighting > Pendants,2995,8236,This brilliant crystal constellation pendant with ten lights is in an antique silver-leaf finish.,AJC-9239-1,,,
AJC-9236,Faceted Glass Twelve-Light Chandelier,John Richard,Lighting > Chandeliers,1780,4895,"This twelve-light chandelier with an antique silver finish will sparkle in any room, with each clear and etched glass, faceted crystal refracting the light for a prismatic display.",AJC-9236-1,,,
AJC-9234,Glass Medallion Twelve-Light Chandelier,John Richard,Lighting > Chandeliers,2745,7549,This handblown glass chandlelier finished in polished nickel features twelve lights and glass medallions in clear and white.,AJC-9234-1,"36""D","36""W","36""H"
AJC-9233,Glass Medallion Eighteen-Light Chandelier,John Richard,Lighting > Chandeliers,3480,9570,This handblown glass chandelier finished in polished nickel features eighteen lights and glass medallions in clear and white.,"AJC-9233-1,AJC-9233-3,AJC-9233-6,AJC-9233-7","42.5""D","42.5""W","48""H"
AJC-9232,Echo: Glass Globe Two-Light Wall Sconce,John Richard,Lighting > Wall Sconces,400,1100,"This two-light wall sconce has an antique brass finish and features handblown glass globes. Miniature glass beads are supplied that nestle within each globe, creating a lovely conversation piece.",AJC-9232-1,"9""D","14""W","25""H"
AJC-9231,Echo: Glass Globe Single Droplight,John Richard,Lighting > Pendants,330,908,"This single droplight has an antique brass finish and features a handblown glass globe. Miniature glass beads are supplied that nestle within the globe, creating a lovely conversation piece.",AJC-9231-1,"6""D","6""W","10.25""H"
AJC-9230,Echo: Glass Globe Twenty-Four-Light Chandelier,John Richard,Lighting > Chandeliers,4450,12238,"This magnificent chandelier with twenty-four lights has an antique brass finish and features handblown glass globes. Miniature glass beads are supplied that nestle within each globe, creating a lovely conversation piece.",AJC-9230-1,,,
AJC-9228,Echo: Glass Globe Sixteen-Light Chandelier,John Richard,Lighting > Chandeliers,2745,7549,"This sixteen-light chandelier features handblown glass globes and an antique brass finish. Miniature glass beads are supplied that nestle within each globe, creating a lovely conversation piece.",AJC-9228-1,,,
AJC-9227,Echo: Glass Globe Single-Light Wall Sconce,John Richard,Lighting > Wall Sconces,330,908,This single-light wall sconce in an antique brass finish has a landscape of miniature glass beads supplied to internally nestle within a handblown glass globe.,AJC-9227-1,"7""D","6""W","25""H"
AJC-9226,Genesis,John Richard,Lighting > Semi-Flush,1095,3011,This mid-century semi-flush features eight lights and acrylic edged in an antique brass finish.,AJC-9226-1,,,
AJC-9225,Genesis: Acrylic Eight-Light Pendant In Antique Brass,John Richard,Lighting > Chandeliers,2995,8236,This pendant features eight individually lit acrylic frames edged in an antique brass finish.,AJC-9225-1,"18""D","68""W","42""H"
AJC-9224,Genesis: Acrylic Eight-Light Chandelier With Polished Nickel,John Richard,Lighting > Chandeliers,1830,5033,This horizontal chandelier in acrylic has eight lights and a polished nickel finish.,AJC-9224-1,"24""D","58""W","28""H"
AJC-9223,Genesis: Acrylic Eight-Light Chandelier With Antique Brass,John Richard,Lighting > Chandeliers,1830,5033,This horizontal chandelier in acrylic has eight lights and an antique brass finish.,AJC-9223-1,"24""D","58""W","28""H"
AJC-9222,Genesis: Acrylic And Antique Brass Eight-Light Chandelier,John Richard,Lighting > Chandeliers,1165,3204,This mid-century chandelier features eight lights and acrylic edged in an antique brass finish.,AJC-9222-1,,,
AJC-9221,Genesis: Acrylic And Antique Brass Single Droplight,John Richard,Lighting > Pendants,450,1238,This single droplight features acrylic plates edged in an antique brass finish.,AJC-9221-1,,,
AJC-9220,Genesis: Acrylic Sphere Ten-Light Pendant In Polished Nickel,John Richard,Lighting > Chandeliers,1705,4689,This spherical pendant features ten lights and acrylic plates trimmed in a polished nickel finish.,AJC-9220-1,,,
AJC-9219,Genesis: Acrylic Sphere Ten-Light Pendant In Antique Brass,John Richard,Lighting > Chandeliers,1705,4689,This spherical pendant features ten lights and acrylic plates trimmed in an antique brass finish.,AJC-9219-1,,,
AJC-9215,Rectangles Of Mirror And Antique Gold-Leaf Wall Sconce,John Richard,Lighting > Wall Sconces,615,1691,The reflection of light from the brass shade brings attention to the flowing design created by the mirror and antique gold-leaf rectangles on this wall sconce.,AJC-9215-1,"5""D","13""W","35.5""H"
AJC-9212,"Stone, Alabaster Wall Sconce With A Nod To Mondrian",John Richard,Lighting > Wall Sconces,615,1691,Panels of translucent alabaster are configured to create a nod to Mondrian in this elegant two-light wall sconce.,"AJC-9212-1,AJC-9212-3,AJC-9212-4,AJC-9212-5,AJC-9212-7","5.25""D","15""W","24""H"
AJC-9211,Shiro-Noda Illuminated Eight-Light Wall Sculpture,John Richard,Lighting > Wall Sconces,3095,8511,"Shiro-noda variegated, frosted, and clear crystal clusters dramatically drip from this ornamentally stunning eight-light wall sculpture.","AJC-9211-1,AJC-9211-3,AJC-9211-4","17""D","21""W","75""H"
AJC-9210,Illuminated Eight-Light Wall Sculpture,John Richard,Lighting > Wall Sconces,2995,8236,This dripping teardrop wall sculpture is illuminated with eight lights and has an antique brass finish.,AJC-9210-1,"17""D","21""W","75""H"
AJC-9207,"Stone, Alabaster Six-Light Chandelier",John Richard,Lighting > Chandeliers,2190,6022,This sophisticated alabaster chandelier features six shaded lights and a coffee bronze finish.,AJC-9207-1,,,
GBG-1735,Feng Ming's Lady Of The Manor,John Richard,Decoration > Artistic Ornaments > Wall Art,655,1801,A stunning abstract portrait by Feng Ming.,GBG-1735-1,"2""D","41""W","55""H"
CBC-1171HJ-61X46-F15-AS,Carol Benson-Cobb's The Race I,John Richard,Decoration > Artistic Ornaments > Wall Art,1120,3080,"Carol Benson-Cobb's The Race I/Carol Benson-Cobb's The Race I is shown in a Modern Sterling Floater Frame. This piece is overlayed with a vitreous finish. It is available in only one size (61X46) and offered in the Modern Sterling Floater Frame only. No other options. Disclaimer: The acrylic coating on this item is meticulously applied by hand in a process taking several hours. Several additional hours are required before the high-clarity acrylic gels and cures. Our artists meticulously monitor the curing process to ensure that the acrylic coating is as free of surface defects and pinhead-sized bubbles; however, very small imperfections may remain. To care for the vitreous finish, use a soft, lint-free dust cloth. If needed, a dash of mild, non-abrasive soap in water can be used to remove stubborn spots. Use a very soft cloth or chamois to remove any residue.",CBC-1171HJ-61X46-F15-AS-1,"1""D","61""W","46""H"
CBC-1172HJ-61X46-F15-AS,Carol Benson-Cobb's The Race II,John Richard,Decoration > Artistic Ornaments > Wall Art,1090,2998,"Carol Benson-Cobb's The Race II/Carol Benson-Cobb's The Race II is shown in a Modern Sterling Floater Frame. This piece is overlayed with a vitreous finish. It is available in only one size (61X46) and offered in the Modern Sterling Floater Frame only. No other options. Disclaimer: The acrylic coating on this item is meticulously applied by hand in a process taking several hours. Several additional hours are required before the high-clarity acrylic gels and cures. Our artists meticulously monitor the curing process to ensure that the acrylic coating is as free of surface defects and pinhead-sized bubbles; however, very small imperfections may remain. To care for the vitreous finish, use a soft, lint-free dust cloth. If needed, a dash of mild, non-abrasive soap in water can be used to remove stubborn spots. Use a very soft cloth or chamois to remove any residue.",CBC-1172HJ-61X46-F15-AS-1,"1""D","61""W","46""H"
AMF-1671-BLCK-AS,Piazze Bench,John Richard,Furniture > Living > Benches & Ottomans,1410,3878,Three adjoining squared diamond frames are in an antique gold finish. The individual padded seats are upholstered in a hand-stitched black leather.,AMF-1671-BLCK-AS-1,"28""D","82""W","20""H"
AMF-1670-WHTE-AS,Carres Bench,John Richard,Furniture > Living > Benches & Ottomans,1410,3878,Three adjoining squared diamond frames are in a polished stainless steel finish. The individual padded seats are upholstered in a hand-stitched white leather.,AMF-1670-WHTE-AS-1,"28""D","82""W","20""H"
AMF-1669V225-2164-AS,TrIVi Bench,John Richard,Furniture > Living > Benches & Ottomans,1290,3548,A double bench in églomisé and champagne moldings is upholstered in Notre Dame Smoke with Noble Platino welting.,AMF-1669V225-2164-AS-1,"20""D","50.5""W","19""H"
AMF-1675V225-2164-AS,TrIVi Stool,John Richard,Furniture > Living > Benches & Ottomans,765,2104,This single bench with églomisé and champagne moldings is upholstered in a neutral fabric.,"AMF-1675V225-2164-AS-1,AMF-1675V225-2164-AS-3,AMF-1675V225-2164-AS-4,AMF-1675V225-2164-AS-10,AMF-1675V225-2164-AS-11","20""D","26.5""W","19""H"
AMF-1672-WHTE-AS,Scatole Bench,John Richard,Furniture > Living > Benches & Ottomans,1955,5376,This long bench features a quilted and stitched seat of soft-hand leather in white that sits upon an X-stretchered base in polished stainless steel.,"AMF-1672-WHTE-AS-1,AMF-1672-WHTE-AS-3,AMF-1672-WHTE-AS-4,AMF-1672-WHTE-AS-10,AMF-1672-WHTE-AS-11","20""D","74""W","20""H"
AMF-1664-4065-AS,Diamond Ottoman,John Richard,Furniture > Living > Benches & Ottomans,825,2269,This upholstered ottoman has a wood plinth base. It is accented with mother-of-pearl buttons and polished nickel nailheads.,"AMF-1664-4065-AS-1,AMF-1664-4065-AS-3","22""D","22""W","20""H"
AMF-1663-3041-AS,Diamond Ottoman,John Richard,Furniture > Living > Benches & Ottomans,825,2269,This upholstered ottoman has a wood plinth base. It is accented with mother-of-pearl buttons and polished nickel nailheads.,"AMF-1663-3041-AS-1,AMF-1663-3041-AS-3,AMF-1663-3041-AS-4,AMF-1663-3041-AS-10,AMF-1663-3041-AS-11","22""D","22""W","20""H"
AMF-1656-2185-AS,Gold Metal Basket Bench,John Richard,Furniture > Living > Benches & Ottomans,565,1554,A metal basket bench shown in a Gold finish.,"AMF-1656-2185-AS-1,AMF-1656-2185-AS-4","22""D","22""W","21""H"
AMF-1632V229-2192-AS,Shaftsbury Stool,John Richard,Furniture > Living > Benches & Ottomans,710,1953,"An upholstered square pouffe sits on four frame legs that curve neatly around each corner. The frame legs are finished with a gold glaze over silver leaf, and the pouffe is covered in a soft grey velvet fabric.",AMF-1632V229-2192-AS-1,"22.5""D","22.5""W","20""H"
AMF-1632V64-ACPW-AS,Shaftsbury Stool,John Richard,Furniture > Living > Benches & Ottomans,825,2269,"An upholstered square pouffe sits on four frame legs that curve neatly around each corner. The frame legs are finished in transitional silver, and the pouffe is covered in a soft-hand, metallic pewter leather.","AMF-1632V64-ACPW-AS-1,AMF-1632V64-ACPW-AS-6","22.5""D","22.5""W","20""H"
AMF-1627V100-2164-AS,Vallejo Bench,John Richard,Furniture > Living > Benches & Ottomans,1095,3011,This bench features a hand-carved frame with eight fluted legs and ribbed moldings in antique beluga with distressed gold detailing. The upholstered box seat is in a neutral fabric with contrasting welts.,AMF-1627V100-2164-AS-1,"20""D","60""W","19.5""H"
AMF-1613-WHTE-AS,New Park Bench,John Richard,Furniture > Living > Benches & Ottomans,1740,4785,"This bench features a fully upholstered seat and bolsters, with lucite ends secured by decorative bolt heads in polished stainless steel.",AMF-1613-WHTE-AS-1,"22""D","60""W","24""H"
JRL-10188,Enameled Earth Tone Table Lamp,John Richard,Lighting > Table Lamps,370,1018,An enameled table lamp with nickel accents is gradated with shades of earth.,"JRL-10188-1,JRL-10188-6,JRL-10188-7","22""D","22""W","36""H"
EUR-03-0755,Ashton Gate Side Table,John Richard,Furniture > Living > Tables > End Tables,795,2186,"A single piece of transparent acrylic dissects the top and base of this unique side table. The top and base are in a figured, smoked eucalyptus veneer, and there is a plinth in antique gold.","EUR-03-0755-1,EUR-03-0755-3,EUR-03-0755-6,EUR-03-0755-8,EUR-03-0755-10,EUR-03-0755-11","22""D","22""W","23""H"
AMF-1633V226-2193-AS,Ticinese Swivel Chair- 2193,John Richard,Furniture > Living > Occasional Chairs,1625,4469,"Ticinese Swivel Lounge Chair shown in V226 Burnished Silver finish and 2193 fabric. This sumptuous swivel lounge chair has an exposed wood frame in burnished silver. The seat and inside back are in a neutral fabric, while the outer back is in a snakeskin vegan leather with nickel nailhead trim.","AMF-1633V226-2193-AS-1,AMF-1633V226-2193-AS-6","35""D","34""W","30""H"
GBG-1800,Shaye Rawson's Blue Falls,John Richard,Decoration > Artistic Ornaments > Wall Art,695,1911,A dramatic depiction of a steep flow of water is represented in this work by artist Shaye Rawson. The artwork features a light textural glaze and is surrounded by a silver molding.,"GBG-1800-1,GBG-1800-6","2""D","51""W","69""H"
EUR-06-0019,Cosmos King Bed,John Richard,Furniture > Bedroom > Beds,2270,6242,"The Cosmos King Bed features a headboard with a silver white, radiating relief pattern surrounded by a delicate grey frame. The base and headboard spacer are finished in grey oak.","EUR-06-0019-1,EUR-06-0019-7","5.5""D","77""W","46""H"
EUR-03-0656,Cosmos Two-Drawer Nightstand,John Richard,Furniture > Bedroom > Nightstands,1310,3603,"This two-drawer nightstand has drawer fronts with a silver white, radiating pattern. They are set in a grey oak case.","EUR-03-0656-1,EUR-03-0656-4,EUR-03-0656-10","22""D","36""W","30""H"
GBG-1519S4,Silver Branches I-IV (Set Of Four),John Richard,Decoration > Artistic Ornaments > Wall Art,1010,2778,"In this set of four, twisted natural silver branches are mounted on pearl white, textured panels and displayed in acrylic frames.",GBG-1519S4-1,"3.5""D","18""W","18""H"
JRA-9468,Capiz And Mirror Tray,John Richard,Decoration > Home Accents > Trays,220,605,Capiz and Mirror Tray. This beautiful white Capiz tray with a mirrored center is accented with polished nickel and gold decorative handles. Perfect for gracious entertaining.,JRA-9468-1,"12""D","24""W","5""H"
EUR-04-0553,Kano Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2415,6641,This modern sideboard features a book-matched faux crocodile pattern across each pair of doors finished in variegated cream and white. The case is finished in antique beluga with brushed brass on the front molding and metal base.,"EUR-04-0553-1,EUR-04-0553-3,EUR-04-0553-4,EUR-04-0553-5,EUR-04-0553-7,EUR-04-0553-10,EUR-04-0553-11,EUR-04-0553-12","20""D","84""W","34""H"
EUR-04-0612,Greystoke Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2300,6325,"Finished in gold cerused black, this modern sideboard is set on an arching steel base. There are four doors, each with a single piece of faux crocodile hide. The faux crocodile is finished in a variegated black with distressed gold cerusing. The front inset and metal base are in dark Aztec gold.","EUR-04-0612-1,EUR-04-0612-3,EUR-04-0612-5,EUR-04-0612-7,EUR-04-0612-8,EUR-04-0612-9,EUR-04-0612-10,EUR-04-0612-11,EUR-04-0612-12,EUR-04-0612-13","18""D","76.5""W","32""H"
EUR-04-0621,Greystoke Cabinet,John Richard,Furniture > Living > Cabinets,1650,4538,"Finished in gold cerused black, this modern cabinet is set on an arching steel base and features two doors, each with a single piece of faux crocodile hide. The faux crocodile is finished in a variegated black with distressed gold cerusing. The front surround and metal base are in dark Aztec gold.","EUR-04-0621-1,EUR-04-0621-3,EUR-04-0621-5,EUR-04-0621-7,EUR-04-0621-8,EUR-04-0621-10,EUR-04-0621-11,EUR-04-0621-12","18""D","48.5""W","36""H"
EUR-04-0555,Ide Hill Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2125,5844,"The five-door Ide Hill Sideboard features dreamy artwork in a weeping willow pattern of pearlescent colors. The case is in quartered ash finished in antique beluga, with the front edge molding in a brushed brass finish. The steel box frame base is also in the brushed brass finish to match the molding.","EUR-04-0555-1,EUR-04-0555-3,EUR-04-0555-4,EUR-04-0555-5,EUR-04-0555-7,EUR-04-0555-10,EUR-04-0555-11,EUR-04-0555-12","20""D","77""W","34""H"
EUR-04-0567,Hampton Foor-Door Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2500,6875,"Finished in a medium taupe, the front of this four-door credenza in ash features a pattern of radiating lines over concentric ovals in resin finished in antique beluga.","EUR-04-0567-1,EUR-04-0567-3,EUR-04-0567-4,EUR-04-0567-5,EUR-04-0567-10","19""D","81.5""W","43""H"
EUR-04-0413,Cosmos Two-Door Cabinet,John Richard,Furniture > Living > Cabinets,1475,4056,"The doors have a silver white, radiating pattern from the center, and they are set in a grey oak case.","EUR-04-0413-1,EUR-04-0413-3,EUR-04-0413-4,EUR-04-0413-10","18.25""D","41.75""W","43""H"
JRL-10304,Three Flowing Wave Spheres Nickel Table Lamp,John Richard,Lighting > Table Lamps,435,1196,"This table lamp with a nickel finish is designed with three spheres in flowing wave shapes, making an interesting statement for your home.","JRL-10304-1,JRL-10304-4,JRL-10304-6,JRL-10304-7","20""D","20""W","41""H"
JRA-12061S2,Set Of Two Ribbed Jars,John Richard,Decoration > Artistic Ornaments > Vases,160,440,"This set of two textured, aluminum jars are in two-tone silver and mink.","JRA-12061S2-1,JRA-12061S2-4,JRA-12061S2-6",,,
EUR-04-0568,Triesse Six-Door Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2875,7906,"Standing on turned acrylic legs and finished in ice white, this six-door credenza has bold, silvered escargot handles on each pair of doors.","EUR-04-0568-1,EUR-04-0568-3,EUR-04-0568-4,EUR-04-0568-5,EUR-04-0568-7,EUR-04-0568-10,EUR-04-0568-11","21""D","94""W","34""H"
GBG-1755,Mark Mcdowell's Veil,John Richard,Decoration > Artistic Ornaments > Wall Art,1055,2901,"With hushed tones of gold and slate with emerging accents of light, this serene Mark McDowell original painting has been reproduced as a giclée on canvas, finished with a textured veil.","GBG-1755-1,GBG-1755-3,GBG-1755-6,GBG-1755-7","2""D","57""W","76""H"
JRA-10962,Alabaster Tray With Alabaster Handles,John Richard,Decoration > Home Accents > Trays,300,825,A lovely white alabaster tray is accented with brass and alabaster handles.,"JRA-10962-1,JRA-10962-3,JRA-10962-5,JRA-10962-6","10""D","18.25""W","2.5""H"
EUR-04-0630,Troina Two-Door Cabinet,John Richard,Furniture > Living > Cabinets,1760,4840,"Encased in a grey oak veneer with a white linen and silver wash finish on the doors, this two-door cabinet has a unique pair of concave disc handles in brushed steel that match the base.","EUR-04-0630-1,EUR-04-0630-3,EUR-04-0630-7,EUR-04-0630-10","18""D","48""W","36.25""H"
EUR-04-0634,Ravine Credenza,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2890,7948,"This six-door credenza features modern beveled mirror fronts with an inset ""Ravine"" pattern in a gold finish. The cabinet and base are finished in smoked oak.","EUR-04-0634-1,EUR-04-0634-3,EUR-04-0634-7,EUR-04-0634-8","18""D","96""W","40.5""H"
EUR-04-0641,Belluno Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2890,7948,"Set on steel legs in brushed silver, the three doors of this impressive sideboard feature a pattern of circles reducing in size as they increase in depth. A concave, square handle in cast metal with a silver, textured pattern completes each door. The case and doors have a Carrara white finish.","EUR-04-0641-1,EUR-04-0641-3,EUR-04-0641-6","18""D","84""W","36.25""H"
EUR-04-0643,Loftus Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2235,6146,"Fully encased in a tiza gesso finish, this six-door sideboard sits on a brushed stainless steel base.","EUR-04-0643-1,EUR-04-0643-3,EUR-04-0643-4,EUR-04-0643-9","18""D","94""W","36.5""H"
EUR-04-0646,Troina Four-Door Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2180,5995,"Encased in a grey oak veneer with a white linen and silver wash finish on the doors, this four-door sideboard features Brutalist-style, textured handles in whitewashed silver that match the base.","EUR-04-0646-1,EUR-04-0646-3,EUR-04-0646-4,EUR-04-0646-5,EUR-04-0646-7,EUR-04-0646-8","18.25""D","74""W","42""H"
EUR-04-0647,Malvasia Four-Door Cabinet,John Richard,Furniture > Living > Cabinets,2540,6985,"A clean, modern cabinet encased in pewter linen features reverse-painted glass panels in soft blue and grey tones. The case is mounted on a brushed steel base.","EUR-04-0647-1,EUR-04-0647-3,EUR-04-0647-5,EUR-04-0647-7","18""D","82""W","42""H"
EUR-04-0648,Naro Sideboard,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,2355,6476,"This four-door, three-drawer sideboard has a case in smoked oak and is mounted on steel base in antique gold. The doors and drawers are inlaid with a continuous pattern of striated lines of varying gold tones.","EUR-04-0648-1,EUR-04-0648-2,EUR-04-0648-3,EUR-04-0648-5,EUR-04-0648-6,EUR-04-0648-7,EUR-04-0648-9,EUR-04-0648-10,EUR-04-0648-11,EUR-04-0648-12","18.75""D","84""W","34.25""H"
EUR-01-0401,Modica Two-Drawer Chest,John Richard,Furniture > Bedroom > Chests,1295,3561,"Finished in white linen, each drawer front has a recessed, reeded center panel in an antique beluga finish and features an oversized pull of acrylic and gold leaf with a brass frame.","EUR-01-0401-1,EUR-01-0401-5","21""D","36.25""W","28""H"
EUR-01-0404,Traviso Three-Drawer Nightstand,John Richard,Furniture > Bedroom > Chests,1240,3410,"This three-drawer nightstand with an elegant, curved front is finished in tiza gesso. It features soft-closing drawers with elongated, curved handles in antique gold.","EUR-01-0404-1,EUR-01-0404-3,EUR-01-0404-7","22""D","33.25""W","28""H"
EUR-01-0408,Traviso Nine-Drawer Chest of Drawers,John Richard,Furniture > Bedroom > Chests,2890,7948,"Fully encased in tiza gesso, this chest replicates elegant, curved fronts for each set of three drawers. This nine-drawer chest features soft-closing drawers with elongated, curved handles in antique gold.","EUR-01-0408-1,EUR-01-0408-3,EUR-01-0408-6,EUR-01-0408-8","23.5""D","84.25""W","36.5""H"
EUR-01-0409,Lenosa Dresser,John Richard,Furniture > Dining > Credenzas Sideboards & Buffets,4235,11646,"Mounted on a pair of curved bases in brushed stainless, this dresser is encased in a grey oak veneer with a white linen finish on the drawer fronts. brushed steel pulls.","EUR-01-0409-1,EUR-01-0409-5","20""D","95.25""W","36""H"
